# Alpha Energy Loss | 96% He + 4% CO2 @ 250 Torr
# Density: 7.660749e-05 g/cm3
# E_total(MeV) 	dE/dx(MeV/cm) 	Range(cm)
2.436013e+01	2.301294e-02	5.924378e+02
2.504539e+01	2.248222e-02	6.225666e+02
2.574992e+01	2.196293e-02	6.542747e+02
2.647428e+01	2.145488e-02	6.876462e+02
2.721901e+01	2.095784e-02	7.227695e+02
2.798469e+01	2.047161e-02	7.597379e+02
2.877191e+01	1.999599e-02	7.986497e+02
2.958128e+01	1.953076e-02	8.396084e+02
3.041341e+01	1.907573e-02	8.827230e+02
3.126895e+01	1.863070e-02	9.281086e+02
3.214856e+01	1.819548e-02	9.758863e+02
3.305291e+01	1.776986e-02	1.026184e+03
3.398270e+01	1.735365e-02	1.079136e+03
3.493864e+01	1.694666e-02	1.134884e+03
3.592148e+01	1.654872e-02	1.193577e+03
3.693197e+01	1.615963e-02	1.255374e+03
3.797088e+01	1.577921e-02	1.320440e+03
3.903901e+01	1.540728e-02	1.388950e+03
4.013719e+01	1.504319e-02	1.461088e+03
4.126627e+01	1.468318e-02	1.537064e+03
4.242710e+01	1.433174e-02	1.617093e+03
4.362060e+01	1.398869e-02	1.701391e+03
4.484766e+01	1.365387e-02	1.790185e+03
4.610924e+01	1.332712e-02	1.883716e+03
4.740631e+01	1.300827e-02	1.982235e+03
4.873987e+01	1.269716e-02	2.086008e+03
5.011094e+01	1.239366e-02	2.195314e+03
5.152058e+01	1.209759e-02	2.310445e+03
5.296987e+01	1.180881e-02	2.431711e+03
5.445994e+01	1.152718e-02	2.559436e+03
5.599192e+01	1.125255e-02	2.693961e+03
5.756699e+01	1.098479e-02	2.835643e+03
5.918637e+01	1.072375e-02	2.984859e+03
6.085131e+01	1.046930e-02	3.142004e+03
6.256308e+01	1.022132e-02	3.307494e+03
6.432300e+01	9.979656e-03	3.481762e+03
6.613243e+01	9.744203e-03	3.665267e+03
6.799276e+01	9.514839e-03	3.858487e+03
6.990542e+01	9.291427e-03	4.061925e+03
7.187189e+01	9.073864e-03	4.276108e+03
7.389367e+01	8.862036e-03	4.501589e+03
7.597233e+01	8.655815e-03	4.738944e+03
7.810946e+01	8.455107e-03	4.988779e+03
8.030671e+01	8.259805e-03	5.251728e+03
8.256577e+01	8.069788e-03	5.528454e+03
8.488837e+01	7.884972e-03	5.819647e+03
8.727632e+01	7.705254e-03	6.126031e+03
8.973143e+01	7.530523e-03	6.448363e+03
9.225561e+01	7.360702e-03	6.787430e+03
9.485080e+01	7.195693e-03	7.144053e+03
9.751899e+01	7.035395e-03	7.519090e+03
1.002622e+02	6.879736e-03	7.913431e+03
1.030826e+02	6.728624e-03	8.328004e+03
1.059824e+02	6.581968e-03	8.763774e+03
1.089637e+02	6.439700e-03	9.221742e+03
1.120289e+02	6.301734e-03	9.702954e+03
1.151803e+02	6.167990e-03	1.020847e+04
1.184204e+02	6.038403e-03	1.073942e+04
1.217516e+02	5.907706e-03	1.129715e+04
1.251765e+02	5.775150e-03	1.188348e+04
1.286978e+02	5.645666e-03	1.250022e+04
1.323181e+02	5.519178e-03	1.314883e+04
1.360403e+02	5.395621e-03	1.383096e+04
1.398671e+02	5.274938e-03	1.454834e+04
1.438017e+02	5.157056e-03	1.530276e+04
1.478468e+02	5.041919e-03	1.609613e+04
1.520058e+02	4.929469e-03	1.693043e+04
1.562818e+02	4.819639e-03	1.780776e+04
1.606781e+02	4.712376e-03	1.873030e+04
1.651980e+02	4.607627e-03	1.970038e+04
1.698451e+02	4.505327e-03	2.072041e+04
1.746229e+02	4.405427e-03	2.179293e+04
1.795351e+02	4.307877e-03	2.292060e+04
1.845855e+02	4.212616e-03	2.410623e+04
1.897780e+02	4.119599e-03	2.535276e+04
1.951165e+02	4.028778e-03	2.666327e+04
2.006052e+02	3.940096e-03	2.804100e+04
